Author First Name,Author Last Name,Title,Series,Series Number
 D. M.,Cornish,Foundling,Monster Blood Tattoo,1
 D. M.,Cornish,Lamplighter,Monster Blood Tattoo,2
 Dacre & Holt,Stoker,Dracula the Un-Dead,,1
 Dacre & Holt,Stoker,Dracula: The Un-Dead,,1
 Dai,Sijie,Once on a Moonless Night,,1
 Daisetz Teitaro,Suzuki,Manual of Zen Buddhism,,1
 Dale,Carnegie,How to Win Friends and Influence People,,1
 Dale & Robbins,Dougherty,"Sed & awk, 2nd Edition",,1
 Dalton,Fury,Kill Bin Laden: a Delta Force Commander's account of the hunt for the world's most wanted man,,1
 Damon,Galgut,In a Strange Room: Three Journeys,,1
 Dan,Simmons,Summer of Night,Elm Haven,1
 Dan,Simmons,A Winter Haunting,Elm Haven,2
 Dan,Simmons,Hyperion,Hyperion Cantos,1
 Dan,Wells,I Am Not a Serial Killer,John Cleaver novels,1
 Dan,Brown,Angels & Demons,Robert Langdon,1
 Dan,Brown,The Da Vinci Code,Robert Langdon,2
 Dan,Brown,The Lost Symbol,Robert Langdon,3
 Dan,Cragg,School of Fire,Starfist,2
 Dan,Cragg,Steel Gauntlet,Starfist,3
 Dan,Cragg,Blood Contact,Starfist,4
 Dan,Cragg,Technokill,Starfist,5
 Dan,Cragg,Hangfire,Starfist,6
 Dan,Cragg,Kingdom's Swords,Starfist,7
 Dan,Cragg,Kingdom's Fury,Starfist,8
 Dan,Cragg,Lazarus Rising,Starfist,9
 Dan,Cragg,A World of Hurt,Starfist,10
 Dan,Cragg,Flashfire,Starfist,11
 Dan,Cragg,Firestorm,Starfist,12
 Dan,Cragg,Starfist: Wings of Hell,Starfist,13
 Dan,Cragg,Double Jeopardy,Starfist,14
 Dan,Cragg,Backshot,Starfist: Force Recon,1
 Dan,Cragg,Recoil,Starfist: Force Recon,3
 Dan,Abnett,Border Princes,Torchwood,2
 Dan,Abnett,First and only,"Warhammer 40,000 (Gaunt's Ghosts novel #1",1999
 Dan,Fante,86'd: A Novel,,1
 Dan,Vining,Among the Living,,1
 Dan,Chaon,Await Your Reply,,1
 Dan,Simmons,Carrion Comfort,,1
 Dan,Fante,Chump Change: A Novel,,1
 Dan,Brown,Deception Point,,1
 Dan,Simmons,Drood: A Novel,,1
 Dan,Fesperman,Layover in Dubai,,1
 Dan,Fante,Mooch,,1
 Dan,Parry,Moonshot: The Inside Story of Mankind's Greatest Adventure,,1
 Dan,Fante,Spitting off tall buildings,,1
 Dan,Fesperman,The Arms Maker of Berlin,,1
 Dan,Morrison,The Black Nile,,1
 Dan,White,The Cactus Eaters: How I Lost My Mind-and Almost Found Myself-on the Pacific Crest Trail,,1
 Dan,Poblocki,The Nightmarys,,1
 Dan,Poblocki,The Stone Child,,1
 Dan,Ariely,The Upside Of Irrationality,,1
 Dan & Singer,Senor,Start-Up Nation: The Story of Israel's Economic Miracle,,1
 Dana,Cameron,Past Malice: An Emma Fielding Mystery,Emma Fielding Mysteries,3
 Dana,Cameron,A Fugitive Truth: An Emma Fielding Mystery,Emma Fielding Mysteries,4
 Dana,Cameron,More Bitter Than Death: An Emma Fielding Mystery,Emma Fielding Mysteries,5
 Dana,Cameron,Ashes and Bones: An Emma Fielding Mystery,Emma Fielding Mysteries,6
 Dana,Stabenow,A cold day for murder,Kate Shugak Mystery,1
 Dana,Stabenow,Dead in the water,Kate Shugak Mystery,3
 Dana,Stabenow,A cold-blooded business,Kate Shugak Mystery,4
 Dana,Stabenow,Play with fire,Kate Shugak Mystery,5
 Dana,Stabenow,Blood Will Tell,Kate Shugak Mystery,6
 Dana,Stabenow,Breakup,Kate Shugak Mystery,7
 Dana,Stabenow,Killing grounds,Kate Shugak Mystery,8
 Dana,Stabenow,Midnight come again,Kate Shugak Mystery,10
 Dana,Stabenow,The Singing of the Dead,Kate Shugak Mystery,11
 Dana,Stabenow,A fine and bitter snow,Kate Shugak Mystery,12
 Dana,Stabenow,A grave denied,Kate Shugak Mystery,13
 Dana,Stabenow,A taint in the blood,Kate Shugak Mystery,14
 Dana,Stabenow,A deeper sleep,Kate Shugak Mystery,15
 Dana,Stabenow,Whisper to the Blood,Kate Shugak Mystery,16
 Dana,Stabenow,Fire and ice,Liam Campbell,1
 Dana,Stabenow,So sure of death,Liam Campbell,2
 Dana,Stabenow,Nothing gold can stay,Liam Campbell,3
 Dana,Stabenow,Better to rest,Liam Campbell,4
 Dana,Stabenow,Blindfold Game,,1
 Dana,Stabenow,Prepared for rage,,1
 Dana,Milbank,Tears of a Clown: Glenn Beck and the Tea Bagging of America,,1
 Dani & Kollin,Kollin,The Unincorporated Man,,1
 Daniel,Silva,The Kill Artist,Gabriel Allon,1
 Daniel,Silva,The English Assassin,Gabriel Allon,2
 Daniel,Silva,The Confessor,Gabriel Allon,3
 Daniel,Silva,A Death in Vienna,Gabriel Allon,4
 Daniel,Silva,Prince of Fire,Gabriel Allon,5
 Daniel,Silva,The Messenger,Gabriel Allon,6
 Daniel,Silva,The Secret Servant,Gabriel Allon,7
 Daniel,Silva,Moscow Rules,Gabriel Allon,8
 Daniel,Silva,The Defector,Gabriel Allon,9
 Daniel,Silva,The Rembrandt Affair,Gabriel Allon,10
 Daniel,Defoe,Robinson Crusoe,The Adventures of Robinson Crusoe,1
 Daniel,Defoe,The Further Adventures of Robinson Crusoe,The Adventures of Robinson Crusoe,2
 Daniel,Meyerson,In the Valley of the Kings: Howard Carter and the Mystery of King Tutankhamun's Tomb,,1
 Daniel,Okrent,Last Call: The Rise and Fall of Prohibition,,1
 Daniel,Kehlmann,Me and Kaminski,,1
 Daniel,Kehlmann,Measuring the World,,1
 Daniel,Silva,The unlikely spy,,1
 Daniel & Reingold,Reingold,Confessions of a Wall Street Analyst: A True Story of Inside Information and Corruption in the Stock Market,,1
 Daniel & Woolf,Defoe,Moll Flanders,,1
 Daniel Asa,Rose,"Larry's Kidney: Being the True Story of How I Found Myself in China with My Black Sheep Cousin and His Mail-Order Bride, Skirting the Law to Get Him a Transplant--and Save His Life",,1
 Daniel H.,Pink,A whole new mind: why right-brainers will rule the future,,1
 Daniel H.,Pink,Drive: The Surprising Truth About What Motivates Us,,1
 Danielle,Steel,A Good Woman,,1
 Danielle,Steel,Accident,,1
 Danielle,Steel,Amazing Grace,,1
 Danielle,Trussoni,Angelology,,1
 Danielle,Steel,Answered prayers,,1
 Danielle,Evans,Before You Suffocate Your Own Fool Self,,1
 Danielle,Steel,Big Girl: A Novel,,1
 Danielle,Steel,Bittersweet,,1
 Danielle,Steel,Bungalow 2,,1
 Danielle,Steel,Changes,,1
 Danielle,Steel,Coming Out,,1
 Danielle,Steel,Crossings,,1
 Danielle,Steel,Daddy,,1
 Danielle,Steel,Dating Game,,1
 Danielle,Steel,Echoes,,1
 Danielle,Steel,Family album,,1
 Danielle,Steel,Family Ties,,1
 Danielle,Steel,Fine things,,1
 Danielle,Steel,Five Days in Paris,,1
 Danielle,Steel,Full circle,,1
 Danielle,Steel,Granny Dan,,1
 Danielle,Steel,H.R.H.,,1
 Danielle,Steel,Heartbeat,,1
 Danielle,Steel,Honor Thyself,,1
 Danielle,Steel,Impossible,,1
 Danielle,Steel,Irresistible Forces,,1
 Danielle,Steel,Jewels,,1
 Danielle,Steel,Johnny Angel,,1
 Danielle,Steel,Journey,,1
 Danielle,Steel,Kaleidoscope,,1
 Danielle,Steel,Leap of Faith,,1
 Danielle,Steel,Legacy: A Novel,,1
 Danielle,Steel,Lightning,,1
 Danielle,Steel,Lone eagle,,1
 Danielle,Steel,Matters of the Heart,,1
 Danielle,Steel,Miracle,,1
 Danielle,Steel,One Day at a Time,,1
 Danielle,Steel,Ransom,,1
 Danielle,Steel,Remembrance,,1
 Danielle,Steel,Rogue,,1
 Danielle,Steel,Safe Harbour,,1
 Danielle,Steel,Second Chance,,1
 Danielle,Steel,Sisters,,1
 Danielle,Steel,Southern Lights: A Novel,,1
 Danielle,Steel,The Cottage,,1
 Danielle,Steel,The Gift,,1
 Danielle,Steel,The House,,1
 Danielle,Steel,The House on Hope Street,,1
 Danielle,Steel,The Kiss,,1
 Danielle,Steel,The Klone and I: A High-Tech Love Story,,1
 Danielle,Steel,The long road home,,1
 Danielle,Steel,The Promise,,1
 Danielle,Ganek,The Summer We Read Gatsby,,1
 Danielle,Steel,Toxic Bachelors,,1
 Danielle,Steel,Vanished,,1
 Danielle,Steel,Zoya,,1
 Dante,Alighieri,The Divine Comedy,,1
 Daphne,Kalotay,Russian Winter,,1
 Darin,Bradley,Noise,,1
 Darren,Shan,Procession of the Dead (The City),The City,1
 Darren,Shan,Lord Loss,The Demonata,1
 Darren,Shan,Slawter,The Demonata,3
 Darren,Shan,Blood Beast,The Demonata,5
 Darren,Shan,Demon Apocalypse,The Demonata,6
 Darren,Shan,Death's Shadow,The Demonata,7
 Darren,Shan,Cirque du Freak,The Saga of Darren Shan,1
 Darren,Shan,The vampire's assistant,The Saga of Darren Shan,2
 Daryl,Gregory,Pandemonium,,1
 Daryl,Gregory,The Devil's Alphabet,,1
 Dava & Andrewes,Sobel,The Illustrated Longitude: The True Story of a Lone Genius Who Solved the Greatest Scientific Problem of His Time,,1
 Dave,Duncan,Gilded Chain,King's Blades,1
 Dave,Duncan,Sky of swords,King's Blades,2
 Dave,Duncan,Lord of the Fire Lands,King's Blades,3
 Dave,Eggers,The Wild Things,,1
 Dave,Eggers,Zeitoun,,1
 Dave & anonymous,Eggers,What Is the What: The Autobiography of Valentino Achak Deng,,1
 David,Rosenfelt,Open and Shut,Andy Carpenter,1
 David,Rosenfelt,First degree,Andy Carpenter,2
 David,Rosenfelt,Bury the Lead,Andy Carpenter,3
 David,Rosenfelt,Sudden Death,Andy Carpenter,4
 David,Rosenfelt,Dead Center,Andy Carpenter,5
 David,Rosenfelt,Play Dead,Andy Carpenter,6
 David,Rosenfelt,New Tricks,Andy Carpenter,7
 David,Liss,A conspiracy of paper: a novel,Benjamin Weaver,1
 David,Liss,The Devil's Company,Benjamin Weaver,3
 David,Baldacci,The Camel Club,Camel Club,1
 David,Baldacci,The collectors,Camel Club,2
 David,Baldacci,Divine justice,Camel Club,4
 David,Moody,Dog Blood,Hater,2
 David,Keck,In the Eye of Heaven,In the Eye of Heaven,1
 David,Downing,Zoo Station,John Russell,1
 David,Hagberg,The Cabal,Kirk McGarvey,14
 David,Wellington,23 Hours: A Vengeful Vampire Tale,Laura Caxton,4
 David,Stone,The Skorpion Directive,Micah Dalton,4
 David,Hewson,Dante's Numbers,Nic Costa,7
 David,Hewson,Dante's Numbers,Nic Costa,7
 David,Baldacci,Total Control,Novel,2
 David,Baldacci,The winner,Novel,3
 David,Baldacci,The Simple Truth,Novel,4
 David,Baldacci,Saving Faith,Novel,5
 David,Baldacci,Wish You Well,Novel,6
 David,Baldacci,Last Man Standing,Novel,7
 David,Baldacci,The Christmas train,Novel,8
 David,Baldacci,True Blue,Novel,9
 David,Baldacci,Hour Game,Sean King and Michelle Maxwell,2
 David,Baldacci,First Family,Sean King and Michelle Maxwell,4
 David,Baldacci,The whole truth,Shaw,1
 David,Baldacci,Deliver Us From Evil,Shaw,2
 David,Eddings,Pawn of Prophecy,The Belgariad,1
 David,Eddings,Queen of Sorcery,The Belgariad,2
 David,Eddings,Magician's Gambit,The Belgariad,3
 David,Eddings,Castle of Wizardry,The Belgariad,4
 David,Eddings,Enchanter's End Game,The Belgariad,5
 David,Eddings,Guardians of the West,The Malloreon,1
 David,Eddings,King of The Murgos,The Malloreon,2
 David,Eddings,Demon Lord of Karanda,The Malloreon,3
 David,Eddings,Sorceress of Darshiva,The Malloreon,4
 David,Eddings,The Seeress of Kell,The Malloreon,5
 David,Farland,The sum of all men,The Runelords,1
 David,Farland,Brotherhood of the Wolf,The Runelords,2
 David,Farland,Wizardborn,The Runelords,3
 David,Farland,The Lair of Bones,The Runelords,4
 David,Farland,Sons of the Oak,The Runelords,5
 David,Farland,Worldbinder,The Runelords,6
 David,Farland,The Wyrmling Horde,The Runelords,7
 David,Farland,Chaosbound,The Runelords,8
 David,Llewellyn,Trace Memory,Torchwood,5
 David,Gemmell,Lord of the Silver Bow,Troy Trilogy,1
 David,Gemmell,Shield of Thunder,Troy Trilogy,2
 David,Rollins,A Knife Edge,Vin Cooper,2
 David,McCullough,1776,,1
 David,Sedaris,Barrel Fever,,1
 David,Byrne,Bicycle diaries,,1
 David,Mitchell,Black Swan Green,,1
 David,Lynch,"Catching the Big Fish: Meditation, Consciousness, and Creativity",,1
 David,Archuleta,"Chords of Strength: A Memoir of Soul, Song and the Power of Perseverance",,1
 David,Nobbs,Cupid's Dart,,1
 David,Lodge,Deaf Sentence,,1
 David,Jacobs,Death Angel,,1
 David,Corbett,Do They Know I'm Running?,,1
 David,Drake,Dogs of War,,1
 David,Sedaris,Dress your family in corduroy and denim,,1
 David,Morrell,Fireflies,,1
 David,Wellington,Frostbite: A Werewolf Tale,,1
 David,Allen,Getting Things Done,,1
 David,Mitchell,Ghostwritten: a novel,,1
 David,Simon,Homicide: A Year on the Killing Streets,,1
 David,Cross,I Drink for a Reason,,1
 David,McCullough,John Adams,,1
 David,Carnoy,Knife Music,,1
 David,Dosa,Making Rounds with Oscar: The Extraordinary Gift of an Ordinary Cat,,1
 David,Sedaris,Me Talk Pretty One Day,,1
 David,Sedaris,Naked,,1
 David,Mitchell,Number9dream,,1
 David,Peace,Occupied City,,1
 David,Nicholls,One Day,,1
 David,Weber,Out of the Dark,,1
 David,Sedaris,Santaland Diaries,,1
 David,Sedaris,Squirrel Seeks Chipmunk: A Modest Bestiary,,1
 David,Klein,Stash,,1
 David,Plouffe,The audacity to win: the inside story and lessons of Barack Obama's historic victory,,1
 David,Leavitt,The Body Of Jonah Boyd,,1
 David,Remnick,The Bridge: The Life and Rise of Barack Obama,,1
 David,Peace,The Damned UTD,,1
 David,Ebershoff,The Danish Girl,,1
 David,Grann,"The Devil and Sherlock Holmes: Tales of Murder, Madness, and Obsession",,1
 David,Kirkpatrick,The Facebook Effect: The Inside Story of the Company That Is Connecting the World,,1
 David,Cristofano,The Girl She Used to Be,,1
 David,Ignatius,The Increment: A Novel,,1
 David,Markson,The Last Novel,,1
 David,Grann,The Lost City of Z: A Tale of Deadly Obsession in the Amazon,,1
 David,Brin,The Postman,,1
 David,Wroblewski,The Story of Edgar Sawtelle,,1
 David,Mitchell,The Thousand Autumns of Jacob de Zoet,,1
 David,Grossman,To the End of the Land,,1
 David,Sedaris,When you are engulfed in flames,,1
 David & Burgess,Benedictus,Return to the Hundred Acre Wood,Winnie-the-Pooh,5
 David & Cragg,Sherman,Pointblank,Starfist: Force Recon,2
 David & Gemmell,Gemmell,Troy: Fall of Kings,Troy Trilogy,3
 David & Jaffe,Cloud,The Fourth Star: Four Generals and the Epic Struggle for the Future of the United States Army,,1
 David Foster,Wallace,Brief Interviews with Hideous Men,,1
 David Foster,Wallace,Consider the Lobster: And Other Essays,,1
 David Foster,Wallace,Infinite Jest,,1
 David Foster,Wallace,Oblivion: stories,,1
 David Foster,Wallace,The Broom of the System,,1
 David G. & Cramer,Hartwell,Year's Best SF 15,Year's Best SF,15
 David J.,Schow,Internecine,,1
 David Louis,Edelman,Infoquake,Jump 225,1
 David Louis,Edelman,Multireal,Jump 225,2
 David Louis,Edelman,Geosynchron,Jump 225,3
 David Macinnis,Gill,Black Hole Sun,,1
 David N.,Blank-Edelman,Automating System Administration with Perl,,1
 Davida Wills,Hurwin,Freaks and Revelations,,1
 Dean,Koontz,Fear Nothing,Christopher Snow Novels,1
 Dean,Koontz,Seize the Night,Christopher Snow Novels,2
 Dean,Koontz,Children of the Storm,Dean Koontz Gothic Romance,1
 Dean,Koontz,Demon Child,Dean Koontz Gothic Romance,2
 Dean,Koontz,Dance with the Devil,Dean Koontz Gothic Romance,3
 Dean,Koontz,Legacy Of Terror,Dean Koontz Gothic Romance,4
 Dean,Koontz,Prodigal Son,Dean Koontz's Frankenstein,1
 Dean,Koontz,City of Night,Dean Koontz's Frankenstein,2
 Dean,Koontz,Dead and Alive,Dean Koontz's Frankenstein,3
 Dean,Koontz,Frankenstein,Dean Koontz's Frankenstein,4
 Dean,Koontz,Blood risk,Mike Tucker,1
 Dean,Koontz,Surrounded,Mike Tucker,2
 Dean,Koontz,Odd Thomas,Odd Thomas Novels,1
 Dean,Koontz,Forever Odd,Odd Thomas Novels,2
 Dean,Koontz,Brother Odd,Odd Thomas Novels,3
 Dean,Koontz,Odd Hours,Odd Thomas Novels,4
 Dean,Koontz,Invasion,,0
 Dean,Koontz,A Big Little Life,,1
 Dean,Koontz,A Darkness in My Soul,,1
 Dean,Koontz,A werewolf among us,,1
 Dean,Koontz,Anti-man,,1
 Dean,Koontz,Beastchild,,1
 Dean,Koontz,Breathless,,1
 Dean,Koontz,By the light of the moon,,1
 Dean,Koontz,Chase: Roman,,1
 Dean,Koontz,Cold Fire,,1
 Dean,Koontz,Dark Of The Woods,,1
 Dean,Koontz,Dark Rivers of the Heart,,1
 Dean,Koontz,Darkfall,,1
 Dean,Koontz,Demon Seed,,1
 Dean,Koontz,False Memory,,1
 Dean,Koontz,Fear that man,,1
 Dean,Koontz,From the Corner of His Eye,,1
 Dean,Koontz,Hanging on,,1
 Dean,Koontz,Hell's Gate,,1
 Dean,Koontz,Hideaway,,1
 Dean,Koontz,Intensity,,1
 Dean,Koontz,Life Expectancy,,1
 Dean,Koontz,Lightning,,1
 Dean,Koontz,Midnight,,1
 Dean,Koontz,Mr. Murder,,1
 Dean,Koontz,Nightmare journey,,1
 Dean,Koontz,One Door From Heaven,,1
 Dean,Koontz,Phantoms,,1
 Dean,Koontz,Relentless,,1
 Dean,Koontz,Shadowfires,,1
 Dean,Koontz,Shattered,,1
 Dean,Koontz,Soft come the dragons,,1
 Dean,Koontz,Sole Survivor,,1
 Dean,Koontz,Star quest,,1
 Dean,Koontz,Starblood,,1
 Dean,Koontz,Strange Highways,,1
 Dean,Koontz,Strangers,,1
 Dean,Koontz,The crimson witch,,1
 Dean,Koontz,The Dark Symphony,,1
 Dean,Koontz,The Darkest Evening of the Year,,1
 Dean,Koontz,The Door to December,,1
 Dean,Koontz,The Eyes of Darkness,,1
 Dean,Koontz,The Face,,1
 Dean,Koontz,The fall of the dream machine,,1
 Dean,Koontz,The flesh in the furnace,,1
 Dean,Koontz,The Funhouse,,1
 Dean,Koontz,The Husband,,1
 Dean,Koontz,The Key to Midnight,,1
 Dean,Koontz,The Mask,,1
 Dean,Koontz,The Taking,,1
 Dean,Koontz,Tick Tock,,1
 Dean,Koontz,Time Thieves,,1
 Dean,Koontz,Velocity,,1
 Dean,Koontz,Warlock,,1
 Dean,Koontz,Watchers,,1
 Dean,Koontz,What the Night Knows,,1
 Dean,Koontz,Winter Moon,,1
 Dean,Koontz,Writing popular fiction,,1
 Dean,Koontz,Your Heart Belongs to Me,,1
 Deb,Baker,Dolled Up for Murder,Dolls to Die For,1
 Deb,Baker,Goodbye Dolly,Dolls to Die For,2
 Deb,Baker,Dolly Departed,Dolls to Die For,3
 Deb,Baker,Ding Dong Dead,Dolls to Die For,4
 Debbie,Macomber,"The Manning Grooms: Bride On The Loose\Same Time, Next Year",The Manning Men,3
 DEBORAH,DONNELLY,Veiled Threats,Carnegie Kincaid,1
 DEBORAH,DONNELLY,Died to match,Carnegie Kincaid,2
 DEBORAH,DONNELLY,Death Takes a Honeymoon,Carnegie Kincaid,4
 Deborah,Raney,Beneath a Southern Sky,,1
 Deborah,Hale,"Bought, the Penniless Lady",,1
 Deborah,Mitchell,Foods That Combat Aging,,1
 Deborah,Kalin,Shadow Queen,,1
 Deborah,Vogts,Snow Melts in Spring,,1
 Deborah,Hale,"Wanted, Mail-Order Mistress",,1
 Deborah M.,Brown,Snow,,1
 Dee,Henderson,God's Gift,,1
 Deepak,Chopra,"Reinventing the Body, Resurrecting the Soul: How to Create a New You",,1
 Deirdre,Martin,Straight Up,Wild Hart Saga,3
 Delia,Parr,Day by Day,Home Ties Trilogy,2
 Dell Magazine,Authors,"Analog SFF, December 2009",,1
 Delson,Armstrong,Red Serpent: The Falsifier,,1
 Deneane,Clark,Faith,,1
 Denise,Verrico,Cara MIA - Book One of the Immortyl Revolution,,1
 Denise,Austin,"Denise's Daily Dozen: The Easy, Every Day Program to Lose Up to 12 Pounds in 2 Weeks",,1
 Dennis,Lehane,Boston Noir,,1
 Dennis,Showalter,Hitler's Panzers: The Lightning Attacks That Revolutionized Warfare,,1
 Dennis,Lehane,Shutter Island,,1
 Dennis,Tafoya,The Dope Thief,,1
 Derek,Landy,Skulduggery Pleasant,Skulduggery Pleasant,1
 Derek,Landy,The Faceless Ones (Skulduggery Pleasant - Book 3),Skulduggery Pleasant,1
 Derek,Landy,"Playing with Fire (Skulduggery Pleasant, Book 2)",Skulduggery Pleasant,2
 DEREK,BENZ,Grey Griffins: The Clockwork Chronicles #1: The Brimstone Key,,1
 Devon,Monk,Magic in the Shadows,Allie Beckstrom,3
 Dexter,Palmer,The Dream of Perpetual Motion,,1
 Dexter,Filkins,The forever war,,1
 Diana,Orgain,Bundle of Trouble,Maternal Instincts Mysteries,1
 Diana,Orgain,Motherhood Is Murder,Maternal Instincts Mysteries,2
 Diana,Duncan,Bulletproof Bride,,1
 Diana,Duncan,Midnight Hero,,1
 Diane,Whiteside,The Irish Devil,Devil Series,1
 Diane,Whiteside,The Devil She Knows,Devil Series,7
 Diane,Duane,The Empty Chair,Star Trek,2006.11
 Diane,Burke,Midnight Caller,,1
 Diane,Duane,Omnitopia Dawn,,1
 Diane,Hammond,Seeing Stars,,1
 Diane,Chamberlain,The Bay at Midnight,,1
 Diane,Ravitch,The death and life of the great American school system: how testing and choice are undermining education,,1
 Diane,Chamberlain,The Secret Life of Ceecee Wilkes,,1
 Diane,Setterfield,The thirteenth tale: a novel,,1
 Diane & Morwood,Duane,Rihannsu: The Bloodwing Voyages,Star Trek: Rihannsu,1
 Diarmaid,Macculloch,Christianity: The First Three Thousand Years,,1
 Dick,Francis,Break in,Kit Fielding,1
 Dick,Francis,Bolt,Kit Fielding,2
 Dick,Francis,Odds against,Sid Halley,1
 Dick,Francis,Under Orders,Sid Halley,4
 Dick,Francis,10 LB Penalty,,1
 Dick,Francis,Banker,,1
 Dick,Francis,Dead Cert,,1
 Dick,Francis,Decider,,1
 Dick,Francis,Enquiry,,1
 Dick,Francis,Even Money,,1
 Dick,Francis,For Kicks,,1
 Dick,Francis,High stakes,,1
 Dick,Francis,Hot Money,,1
 Dick,Francis,In the Frame,,1
 Dick,Francis,Knock Down,,1
 Dick,Francis,Proof,,1
 Dick,Francis,Rat Race,,1
 DICK,BASS,Seven Summits: The Quest to Reach the Highest Point on Every Continent,,1
 Dick,Francis,Slay Ride,,1
 Dick,Francis,The Edge,,1
 Dick,Couch,The Warrior Elite: The Forging of Seal Class 228,,1
 Dick,Francis,Wild Horses,,1
 Dick & FRANCIS,Francis,Crossfire,,1
 Dick & FRANCIS,Francis,Dead Heat,,1
 Dick & FRANCIS,Francis,Silks,,1
 Dmitry,Glukhovsky,Metro 2033,,1
 Dolen,Perkins-Valdez,Wench: a novel,,1
 Dolen,Perkins-Valdez,Wench: a novel,,1
 Don,Pendleton,War Against The Mafia,The Executioner,1
 Don,Pendleton,Death Squad,The Executioner,2
 Don,Pendleton,Battle Mask,The Executioner,3
 Don,Pendleton,Miami Massacre,The Executioner,4
 Don,Pendleton,Continental Contract,The Executioner,5
 Don,Pendleton,Assault on Soho,The Executioner,6
 Don,Pendleton,Nightmare in New York,The Executioner,7
 Don,Pendleton,Chicago Wipe-Out,The Executioner,8
 Don,Pendleton,Vegas Vendetta,The Executioner,9
 Don,Pendleton,Caribbean Kill,The Executioner,10
 Don,Pendleton,California Hit,The Executioner,11
 Don,Pendleton,Boston Blitz,The Executioner,12
 Don,Pendleton,Washington I.O.U.,The Executioner,13
 Don,Pendleton,San Diego Siege,The Executioner,14
 Don,Pendleton,Panic in Philly,The Executioner,15
 Don,Pendleton,Sicilian Slaughter,The Executioner,16
 Don,Pendleton,Jersey Guns,The Executioner,17
 Don,Pendleton,Texas Storm,The Executioner,18
 Don,Pendleton,Detroit Deathwatch,The Executioner,19
 Don,Pendleton,New Orleans Knockout,The Executioner,20
 Don,Pendleton,Salvador Strike,The Executioner,375
 Don,Pendleton,Frontier Fury,The Executioner,376
 Don,Pendleton,Desperate Cargo,The Executioner,377
 Don,Hoesel,Hunter's Moon: A Novel,,1
 Donald,Thomas,Sherlock Holmes and the King's Evil: And Other New Tales Featuring the World's Greatest Detective,,1
 Donald Ray,Pollock,Knockemstiff,,1
 Donna,Leon,Death at La Fenice,Commissario Brunetti,1
 Donna,Leon,Death in a strange country,Commissario Brunetti,2
 Donna,Leon,The anonymous Venetian,Commissario Brunetti,3
 Donna,Leon,A Venetian reckoning,Commissario Brunetti,4
 Donna,Leon,Acqua Alta,Commissario Brunetti,5
 Donna,Leon,The death of faith,Commissario Brunetti,6
 Donna,Leon,A noble radiance,Commissario Brunetti,7
 Donna,Leon,Fatal Remedies,Commissario Brunetti,8
 Donna,Leon,Friends in high places,Commissario Brunetti,9
 Donna,Leon,A Sea of Troubles,Commissario Brunetti,10
 Donna,Leon,Wilful behaviour,Commissario Brunetti,11
 Donna,Leon,Uniform Justice,Commissario Brunetti,12
 Donna,Leon,Doctored Evidence,Commissario Brunetti,13
 Donna,Leon,Blood from a stone,Commissario Brunetti,14
 Donna,Leon,"Through a glass, darkly",Commissario Brunetti,15
 Donna,Leon,Suffer the Little Children,Commissario Brunetti,16
 Donna,Leon,The Girl of His Dreams,Commissario Brunetti,17
 Donna,Leon,About Face,Commissario Brunetti,18
 Donna,Leon,A Question of Belief,Commissario Brunetti,19
 Donna,Kauffman,Here Comes Trouble,,1
 Doris,Lessing,The Memoirs of a Survivor,,1
 Dorothy,Hearst,Promise of the Wolves: A Novel,Wolf Chronicles,1
 Doug,Johnstone,Tombstoning,,1
 Douglas,Adams,Dirk Gently's Holistic Detective Agency,Dirk Gently,1
 Douglas,Adams,The long dark tea-time of the soul,Dirk Gently,2
 Douglas,Adams,The hitchhiker's guide to the galaxy,The Hitchhiker's Guide to the Galaxy,1
 Douglas,Adams,The Restaurant at the end of the universe,The Hitchhiker's Guide to the Galaxy,2
 Douglas,Adams,Mostly harmless,The Hitchhiker's Guide to the Galaxy,5
 Douglas,Preston,Impact,Wyman Ford,3
 Douglas,Clegg,Breeder,,1
 Douglas,Adams,"Life, the Universe and Everything",,1
 Douglas,Adams,"So Long, and Thanks for All the Fish",,1
 Douglas & Spezi,Preston,The Monster of Florence,,1
 Douglas Anthony,Cooper,Milrose Munce and the Den of Professional Help,,1
 Douglas Mauro; Kevin,Schmidt,"Essential SNMP, 2nd Edition",,1
 Dr.,Oetker,German Baking Today,,1
 Dr.,Oetker,German Cooking Today,,1
 Dr. Jeff S.,Volek,The New Atkins for a New You: The Ultimate Diet for Shedding Weight and Feeling Great,,1
 Dubravka & Heim,Ugrešić,The Ministry of Pain,,1
 Duncan,Falconer,The Hostage,Stratton,1
 Duncan,Falconer,The Hijack,Stratton,2
 Duncan,Falconer,Undersea Prison,Stratton,4
 Duncan,Falconer,Mercenary,Stratton,5
 Duncan,Falconer,Traitor,Stratton,6
 E R,Eddison,A Fish Dinner in Memison,Zimiamvian Trilogy,2
 E. D.,Baker,The Frog Princess,Tales of the Frog Princess,1
 E. L.,Doctorow,Billy Bathgate,,1
 E. L.,Doctorow,Homer & Langley: A Novel,,1
 E. L.,Doctorow,The Waterworks,,1
 E. M.,Forster,A Room with a View,,1
 E. Marie,Aldrich,Where 45 Ends,,1
 Earl,Emerson,The smoke room: a novel of suspense,,1
 Earl & Hopkins,Mindell,"Prescription Alternatives: Hundreds of Safe, Natural, Prescription-Free Remedies to Restore and Maintain Your Health",,1
